,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
BRDT,4.0,679.0,946.0,831.0,536.0,745.0,599.0,380.0,631.0,822.0,255.0
HDAC2,3.0,657.0,102.0,920.0,77.0,671.0,819.0,989.0,931.0,613.0,667.0
HIF-PH,934.0,567.0,103.0,238.0,461.0,686.0,915.0,186.0,738.0,38.0,666.0
Farnesyl-transferase (FNTA),732.0,516.0,842.0,15.0,220.0,940.0,898.0,435.0,709.0,499.0,233.0
PDK1 (PDPK1),500.0,788.0,0.0,638.0,602.0,170.0,339.0,984.0,727.0,470.0,939.0
not defined,615.0,710.0,197.0,821.0,957.0,310.0,445.0,244.0,649.0,29.0,760.0
XIAP,751.0,985.0,138.0,134.0,846.0,969.0,454.0,1.0,834.0,681.0,809.0
PPARgamma,332.0,989.0,914.0,143.0,65.0,997.0,750.0,529.0,402.0,389.0,534.0
PPARdelta,311.0,990.0,961.0,106.0,67.0,1000.0,747.0,528.0,258.0,576.0,441.0
Procaspase-3,7.0,62.0,55.0,997.0,994.0,85.0,772.0,169.0,724.0,184.0,959.0
Procaspase-7,131.0,238.0,81.0,947.0,989.0,76.0,781.0,54.0,867.0,183.0,824.0
PAK1,738.0,580.0,213.0,118.0,19.0,256.0,845.0,987.0,644.0,35.0,822.0
SGK2,591.0,109.0,730.0,218.0,542.0,100.0,420.0,112.0,808.0,868.0,356.0
SGK3,495.0,277.0,719.0,428.0,727.0,28.0,352.0,97.0,607.0,838.0,325.0
SYK,982.0,85.0,772.0,85.0,376.0,216.0,691.0,617.0,855.0,330.0,41.0
Antimetabolite (DNA & RNA),996.0,173.0,560.0,248.0,717.0,335.0,297.0,108.0,275.0,804.0,93.0
SERCA,305.0,852.0,994.0,50.0,0.0,538.0,465.0,946.0,583.0,866.0,219.0
BCL2,53.0,375.0,918.0,962.0,221.0,237.0,49.0,572.0,253.0,697.0,869.0
BCL-XL,671.0,653.0,982.0,475.0,421.0,222.0,68.0,54.0,383.0,500.0,573.0
BCL-W,54.0,203.0,532.0,989.0,566.0,31.0,492.0,640.0,872.0,294.0,482.0
MCL1,872.0,852.0,673.0,9.0,173.0,985.0,876.0,804.0,248.0,376.0,418.0
Retinioic X receptor (RXR) agonist,220.0,423.0,963.0,398.0,329.0,966.0,681.0,157.0,250.0,821.0,407.0
dsDNA break induction,896.0,867.0,157.0,44.0,304.0,800.0,579.0,251.0,445.0,877.0,624.0
BTK,650.0,482.0,308.0,351.0,292.0,43.0,510.0,544.0,917.0,58.0,834.0
HSP90,945.0,877.0,717.0,43.0,993.0,928.0,578.0,26.0,480.0,704.0,10.0
Biguanide agent,497.0,791.0,174.0,926.0,1000.0,948.0,336.0,0.0,927.0,335.0,547.0
PDGFRB,461.0,676.0,10.0,712.0,807.0,317.0,459.0,560.0,965.0,214.0,653.0
IKK1,664.0,318.0,287.0,960.0,957.0,45.0,142.0,6.0,726.0,287.0,602.0
IKK2,0.0,536.0,11.0,929.0,790.0,624.0,850.0,982.0,724.0,489.0,925.0
Amyloid beta20,89.0,538.0,403.0,893.0,1000.0,958.0,557.0,0.0,898.0,883.0,539.0
Amyloid beta40,208.0,434.0,709.0,937.0,569.0,920.0,226.0,367.0,80.0,941.0,341.0
JAK1,736.0,797.0,135.0,705.0,992.0,974.0,420.0,3.0,551.0,261.0,572.0
JAK2,40.0,596.0,80.0,981.0,827.0,28.0,182.0,173.0,632.0,470.0,988.0
JNK1,631.0,76.0,475.0,637.0,766.0,99.0,569.0,989.0,103.0,555.0,40.0
KSP,251.0,579.0,901.0,227.0,25.0,375.0,418.0,974.0,900.0,327.0,321.0
CDK6,0.0,586.0,71.0,1000.0,714.0,270.0,261.0,835.0,42.0,617.0,999.0
p38alpha,91.0,457.0,501.0,961.0,863.0,937.0,315.0,76.0,990.0,100.0,344.0
p38beta,338.0,390.0,653.0,613.0,799.0,986.0,691.0,180.0,994.0,21.0,121.0
PI3K (class 1),914.0,445.0,553.0,560.0,951.0,70.0,132.0,48.0,548.0,537.0,167.0
PI3Kgamma,352.0,948.0,0.0,447.0,796.0,866.0,310.0,764.0,833.0,723.0,808.0
PKCB,38.0,340.0,13.0,944.0,908.0,104.0,897.0,936.0,713.0,279.0,493.0
RSK,938.0,138.0,65.0,773.0,782.0,203.0,657.0,150.0,553.0,36.0,771.0
PI3Kdelta,983.0,236.0,18.0,517.0,826.0,244.0,245.0,229.0,820.0,456.0,265.0
G9a and GLP methyltransferases,18.0,14.0,66.0,993.0,960.0,10.0,957.0,981.0,116.0,103.0,687.0
FLT4,987.0,168.0,489.0,9.0,436.0,39.0,699.0,992.0,32.0,508.0,5.0
AXL,997.0,723.0,703.0,0.0,167.0,515.0,728.0,967.0,41.0,327.0,186.0
NTRK2,291.0,560.0,693.0,516.0,18.0,12.0,229.0,993.0,43.0,559.0,791.0
IRAK1,564.0,588.0,115.0,929.0,384.0,6.0,206.0,951.0,334.0,582.0,866.0
LTK,3.0,95.0,14.0,994.0,505.0,226.0,863.0,806.0,267.0,202.0,949.0
Autophagy inducer,686.0,476.0,64.0,939.0,1000.0,96.0,345.0,5.0,399.0,295.0,421.0
TAK1,972.0,600.0,955.0,1.0,224.0,833.0,717.0,669.0,178.0,301.0,165.0
MAP4K2,112.0,535.0,7.0,875.0,850.0,803.0,442.0,919.0,632.0,519.0,820.0
TAK,596.0,527.0,508.0,12.0,826.0,924.0,971.0,880.0,425.0,140.0,159.0
ERK2,552.0,825.0,15.0,85.0,613.0,977.0,838.0,282.0,743.0,401.0,963.0
ERK1,141.0,433.0,179.0,846.0,785.0,984.0,673.0,347.0,742.0,349.0,509.0
HDAC6,874.0,462.0,439.0,205.0,756.0,224.0,623.0,953.0,223.0,544.0,3.0
HDAC8,73.0,89.0,736.0,982.0,100.0,177.0,425.0,214.0,937.0,385.0,748.0
Endothelin-1 receptor (EDNRA),714.0,213.0,73.0,947.0,977.0,639.0,294.0,4.0,758.0,292.0,578.0
BIRC5,994.0,688.0,771.0,44.0,513.0,207.0,442.0,855.0,41.0,629.0,41.0
MDM4,817.0,138.0,960.0,262.0,366.0,94.0,723.0,968.0,42.0,120.0,112.0
HDAC,185.0,523.0,358.0,921.0,880.0,828.0,313.0,739.0,52.0,402.0,557.0
RAR,799.0,554.0,732.0,623.0,796.0,611.0,329.0,70.0,616.0,443.0,244.0
HDAC1-10,855.0,400.0,602.0,208.0,255.0,169.0,708.0,995.0,60.0,566.0,51.0
VEGFR1,55.0,599.0,934.0,957.0,368.0,532.0,427.0,1000.0,1.0,576.0,341.0
VEGFR3,14.0,752.0,811.0,974.0,472.0,126.0,492.0,467.0,508.0,355.0,744.0
MEK5,88.0,557.0,36.0,585.0,910.0,938.0,854.0,496.0,783.0,406.0,846.0
MTORC2,828.0,263.0,876.0,169.0,102.0,48.0,414.0,956.0,497.0,5.0,368.0
Angiopoietin-1 receptor,139.0,152.0,819.0,732.0,910.0,488.0,966.0,295.0,253.0,71.0,450.0
JAK3,448.0,519.0,124.0,120.0,825.0,849.0,806.0,33.0,959.0,85.0,943.0
IKKB,751.0,391.0,63.0,233.0,406.0,713.0,704.0,736.0,870.0,86.0,720.0
MAP3K8,57.0,149.0,152.0,735.0,751.0,306.0,970.0,995.0,376.0,66.0,441.0
MPS1,189.0,663.0,0.0,642.0,936.0,684.0,801.0,730.0,583.0,655.0,907.0
EPHB4,404.0,386.0,476.0,33.0,967.0,971.0,929.0,500.0,403.0,97.0,555.0
RNA Polymerase 1,1000.0,270.0,965.0,63.0,778.0,55.0,176.0,2.0,612.0,525.0,151.0
PI3Kalpha,692.0,617.0,225.0,506.0,45.0,23.0,178.0,860.0,842.0,441.0,482.0
DAPK3,949.0,440.0,400.0,169.0,196.0,10.0,304.0,758.0,740.0,169.0,241.0
CLK4,901.0,705.0,882.0,139.0,417.0,13.0,279.0,516.0,580.0,283.0,172.0
PIM3,330.0,782.0,103.0,866.0,562.0,215.0,68.0,247.0,997.0,503.0,572.0
HIPK2,746.0,770.0,580.0,73.0,162.0,117.0,360.0,586.0,896.0,216.0,374.0
ALK5,35.0,552.0,179.0,967.0,944.0,976.0,562.0,171.0,804.0,659.0,703.0
TNKS1,635.0,465.0,139.0,418.0,961.0,789.0,281.0,251.0,414.0,984.0,292.0
TNKS2,847.0,36.0,972.0,96.0,750.0,482.0,711.0,937.0,175.0,514.0,17.0
ROCK,111.0,341.0,120.0,682.0,860.0,634.0,696.0,380.0,511.0,439.0,931.0
PYKFYVE,55.0,707.0,209.0,666.0,998.0,930.0,742.0,667.0,311.0,568.0,212.0
DDR1,611.0,228.0,81.0,719.0,153.0,13.0,660.0,944.0,730.0,71.0,945.0
RIPK1,166.0,413.0,593.0,610.0,154.0,102.0,523.0,815.0,982.0,89.0,604.0
CAMK2,248.0,229.0,45.0,1000.0,826.0,172.0,406.0,69.0,240.0,166.0,939.0
LXR,137.0,388.0,509.0,708.0,53.0,900.0,374.0,984.0,880.0,165.0,659.0
FXR,209.0,869.0,616.0,721.0,359.0,984.0,76.0,176.0,985.0,470.0,342.0
SIRT1,973.0,46.0,265.0,700.0,876.0,108.0,786.0,151.0,578.0,58.0,93.0
AMPK agonist,4.0,44.0,115.0,999.0,827.0,21.0,439.0,683.0,538.0,389.0,637.0
TOP1,407.0,909.0,276.0,729.0,69.0,828.0,42.0,562.0,309.0,981.0,901.0
Antimetabolite,13.0,609.0,220.0,968.0,14.0,325.0,356.0,952.0,71.0,977.0,983.0
Retinoic acid,0.0,333.0,6.0,1000.0,602.0,341.0,348.0,993.0,625.0,140.0,975.0
HDAC inhibitor Class I,464.0,181.0,1000.0,535.0,7.0,116.0,575.0,969.0,4.0,213.0,324.0
IIa,1.0,552.0,874.0,974.0,0.0,73.0,379.0,1000.0,264.0,740.0,981.0
IIb,3.0,495.0,619.0,991.0,29.0,139.0,74.0,697.0,143.0,774.0,996.0
IV,4.0,411.0,813.0,869.0,2.0,396.0,742.0,1000.0,63.0,22.0,604.0
MEK1,413.0,747.0,434.0,376.0,834.0,902.0,682.0,5.0,300.0,663.0,989.0
MEK2,15.0,703.0,91.0,700.0,962.0,978.0,872.0,257.0,41.0,309.0,993.0
PARP1,336.0,599.0,781.0,763.0,258.0,890.0,113.0,339.0,207.0,632.0,899.0
PARP2,31.0,638.0,4.0,997.0,728.0,961.0,78.0,208.0,628.0,895.0,993.0
TEC,0.0,921.0,22.0,1000.0,318.0,970.0,171.0,817.0,345.0,955.0,998.0
CRBN,26.0,89.0,481.0,996.0,898.0,444.0,615.0,487.0,297.0,361.0,516.0
CHEK1,1.0,356.0,578.0,997.0,113.0,403.0,61.0,978.0,1.0,965.0,995.0
CHEK2,955.0,444.0,965.0,37.0,917.0,180.0,168.0,30.0,26.0,844.0,508.0
NTRK1,724.0,869.0,992.0,260.0,917.0,806.0,278.0,0.0,246.0,873.0,557.0
NTRK3,203.0,706.0,918.0,518.0,53.0,650.0,99.0,775.0,32.0,920.0,875.0
p38,2.0,425.0,208.0,998.0,422.0,479.0,504.0,985.0,357.0,224.0,781.0
TBK1,25.0,923.0,171.0,764.0,626.0,903.0,601.0,535.0,302.0,793.0,840.0
DNAPK,299.0,727.0,50.0,858.0,665.0,326.0,70.0,783.0,193.0,810.0,746.0
PIM1,48.0,510.0,423.0,975.0,569.0,982.0,346.0,781.0,479.0,362.0,698.0
JNK,14.0,751.0,81.0,989.0,997.0,988.0,615.0,11.0,792.0,499.0,458.0
WEE1,14.0,352.0,48.0,867.0,60.0,986.0,614.0,998.0,436.0,285.0,972.0
MDM2,5.0,371.0,457.0,995.0,822.0,992.0,560.0,139.0,412.0,657.0,812.0
FGFR3,234.0,429.0,77.0,665.0,348.0,415.0,861.0,999.0,153.0,61.0,777.0
PI3K (Class 1),5.0,788.0,241.0,957.0,381.0,880.0,454.0,998.0,8.0,816.0,856.0
PPM1D,11.0,544.0,116.0,984.0,953.0,975.0,566.0,322.0,559.0,307.0,698.0
RAC1,204.0,642.0,276.0,880.0,960.0,995.0,421.0,4.0,788.0,849.0,238.0
RAC2,135.0,530.0,857.0,927.0,986.0,987.0,385.0,34.0,83.0,814.0,257.0
RAC3,170.0,445.0,768.0,966.0,944.0,986.0,553.0,44.0,492.0,577.0,334.0
S6K1,120.0,565.0,28.0,994.0,962.0,974.0,327.0,41.0,627.0,787.0,775.0
LOK,678.0,815.0,999.0,32.0,24.0,754.0,651.0,849.0,301.0,738.0,59.0
TRCB,201.0,182.0,877.0,796.0,133.0,37.0,473.0,958.0,201.0,865.0,278.0
ABL(T315I),115.0,662.0,832.0,299.0,628.0,461.0,368.0,691.0,473.0,925.0,222.0
ADCK4,699.0,113.0,353.0,974.0,789.0,3.0,103.0,270.0,374.0,379.0,476.0
BRSK2,640.0,486.0,607.0,866.0,223.0,93.0,7.0,20.0,516.0,993.0,447.0
MARK4,446.0,305.0,653.0,746.0,702.0,299.0,250.0,32.0,522.0,978.0,501.0
PRKCD,854.0,469.0,799.0,337.0,22.0,203.0,143.0,566.0,452.0,891.0,124.0
SPRK1,500.0,352.0,974.0,625.0,13.0,40.0,297.0,983.0,44.0,655.0,259.0
MAPK7,397.0,357.0,805.0,780.0,249.0,58.0,425.0,193.0,149.0,819.0,619.0
ATR,680.0,222.0,552.0,807.0,546.0,1.0,274.0,642.0,105.0,537.0,495.0
ALK4,925.0,68.0,994.0,202.0,760.0,84.0,565.0,31.0,94.0,289.0,151.0
ESR1,508.0,5.0,582.0,928.0,947.0,106.0,704.0,572.0,68.0,286.0,170.0
EGLN1,720.0,956.0,998.0,32.0,311.0,973.0,360.0,19.0,263.0,788.0,446.0
RNA helicase A,456.0,633.0,968.0,38.0,568.0,937.0,757.0,286.0,433.0,452.0,290.0
Induces reactive oxygen species,883.0,365.0,988.0,148.0,748.0,427.0,485.0,239.0,71.0,439.0,93.0
NAMPT,336.0,48.0,689.0,728.0,8.0,36.0,669.0,1000.0,68.0,267.0,381.0
TRAIL receptor agonist,50.0,259.0,939.0,834.0,337.0,430.0,585.0,941.0,89.0,682.0,279.0
L3MBTL3,763.0,63.0,535.0,613.0,857.0,612.0,612.0,603.0,291.0,313.0,95.0
DOT1L,775.0,855.0,538.0,276.0,942.0,925.0,344.0,10.0,798.0,570.0,196.0
DNA alkylating agent,556.0,117.0,254.0,979.0,977.0,377.0,292.0,43.0,877.0,94.0,379.0
NAE,203.0,910.0,310.0,241.0,534.0,864.0,557.0,253.0,189.0,968.0,859.0
