,EGFR,Hypoxia,JAK.STAT,MAPK,NFkB,PI3K,TGFb,TNFa,Trail,VEGF,p53
AKT3,986.0,871.0,485.0,35.0,999.0,221.0,731.0,0.0,496.0,325.0,49.0
HDAC1,49.0,617.0,570.0,948.0,21.0,927.0,756.0,976.0,37.0,256.0,268.0
HDAC3,54.0,581.0,381.0,922.0,29.0,691.0,107.0,922.0,990.0,626.0,492.0
IKK,21.0,165.0,659.0,954.0,896.0,828.0,854.0,378.0,179.0,525.0,529.0
PI3Kbeta,383.0,733.0,313.0,983.0,419.0,290.0,628.0,259.0,313.0,1.0,418.0
ERK5,1000.0,458.0,655.0,192.0,949.0,139.0,152.0,45.0,60.0,951.0,637.0
BET,988.0,897.0,795.0,35.0,799.0,356.0,97.0,7.0,813.0,939.0,524.0
EIF2A,451.0,680.0,630.0,609.0,487.0,222.0,281.0,183.0,795.0,851.0,319.0
ERBB2,0.0,311.0,285.0,996.0,1.0,939.0,444.0,1000.0,974.0,261.0,509.0
ROCK1,966.0,418.0,846.0,12.0,78.0,426.0,126.0,988.0,782.0,564.0,671.0
ROCK2,836.0,759.0,647.0,205.0,621.0,92.0,273.0,762.0,265.0,881.0,503.0
Anthracycline,977.0,985.0,992.0,19.0,530.0,375.0,101.0,7.0,875.0,798.0,163.0
TOP2,1000.0,945.0,993.0,0.0,973.0,650.0,153.0,0.0,466.0,631.0,302.0
Pyrimidine antimetabolite,1000.0,935.0,992.0,0.0,372.0,364.0,241.0,3.0,893.0,685.0,195.0
DNA crosslinker,986.0,912.0,947.0,9.0,20.0,428.0,117.0,271.0,992.0,376.0,362.0
Microtubule destabiliser,986.0,991.0,780.0,243.0,50.0,156.0,70.0,271.0,524.0,347.0,809.0
SHP-1 (PTPN6),16.0,736.0,987.0,31.0,242.0,994.0,86.0,116.0,997.0,831.0,119.0
SHP-2 (PTPN11),73.0,757.0,876.0,937.0,999.0,738.0,427.0,3.0,537.0,754.0,244.0
AR,187.0,117.0,470.0,478.0,104.0,860.0,774.0,954.0,750.0,52.0,523.0
ARFGAP1,278.0,305.0,852.0,3.0,480.0,964.0,413.0,635.0,992.0,974.0,196.0
ATM,0.0,31.0,11.0,999.0,999.0,602.0,987.0,290.0,61.0,194.0,592.0
PPK,1000.0,535.0,941.0,7.0,974.0,679.0,53.0,4.0,149.0,866.0,805.0
FLT1,996.0,824.0,747.0,179.0,1000.0,154.0,319.0,0.0,12.0,826.0,740.0
c-FGR,997.0,615.0,791.0,84.0,952.0,521.0,124.0,20.0,160.0,793.0,873.0
GSK3A,281.0,339.0,217.0,886.0,86.0,810.0,57.0,996.0,455.0,584.0,872.0
GSK3B,990.0,314.0,913.0,1.0,972.0,877.0,254.0,88.0,328.0,983.0,406.0
PDGFRA,297.0,603.0,805.0,330.0,69.0,93.0,466.0,966.0,955.0,293.0,66.0
VEGFR2,988.0,398.0,802.0,2.0,996.0,958.0,587.0,9.0,97.0,847.0,539.0
FGFR1,979.0,157.0,841.0,5.0,990.0,860.0,257.0,174.0,210.0,889.0,658.0
TIE2,999.0,602.0,820.0,2.0,995.0,811.0,144.0,9.0,23.0,958.0,835.0
JNK2,260.0,730.0,208.0,624.0,37.0,551.0,407.0,902.0,860.0,687.0,641.0
JNK3,618.0,902.0,658.0,142.0,834.0,783.0,429.0,169.0,123.0,936.0,586.0
FAK,989.0,866.0,740.0,2.0,997.0,723.0,828.0,4.0,7.0,790.0,303.0
FAK2,995.0,939.0,791.0,9.0,950.0,596.0,698.0,1.0,42.0,654.0,262.0
BRD2,1.0,236.0,49.0,1000.0,907.0,135.0,829.0,303.0,115.0,177.0,592.0
BRD3,2.0,276.0,30.0,998.0,159.0,329.0,716.0,996.0,92.0,686.0,636.0
BRD4,868.0,552.0,577.0,959.0,933.0,167.0,897.0,285.0,0.0,395.0,413.0
BRDT,671.0,910.0,521.0,223.0,101.0,169.0,643.0,248.0,928.0,336.0,569.0
HDAC2,35.0,716.0,235.0,978.0,610.0,281.0,860.0,439.0,146.0,262.0,245.0
HIF-PH,998.0,366.0,187.0,17.0,995.0,686.0,653.0,3.0,56.0,332.0,788.0
Farnesyl-transferase (FNTA),229.0,889.0,341.0,779.0,1.0,463.0,271.0,1000.0,364.0,86.0,884.0
PDK1 (PDPK1),975.0,361.0,438.0,321.0,1000.0,346.0,434.0,67.0,4.0,835.0,785.0
not defined,23.0,201.0,375.0,963.0,992.0,956.0,762.0,251.0,9.0,445.0,362.0
XIAP,33.0,321.0,185.0,659.0,80.0,955.0,326.0,949.0,801.0,316.0,978.0
PPARgamma,1.0,525.0,33.0,1000.0,1.0,318.0,685.0,1000.0,872.0,32.0,905.0
PPARdelta,3.0,820.0,168.0,994.0,1.0,108.0,451.0,1000.0,891.0,67.0,784.0
Procaspase-3,16.0,188.0,629.0,516.0,268.0,997.0,341.0,930.0,789.0,923.0,765.0
Procaspase-7,41.0,184.0,477.0,336.0,171.0,987.0,248.0,942.0,965.0,902.0,761.0
PAK1,71.0,383.0,676.0,187.0,183.0,988.0,216.0,988.0,566.0,847.0,206.0
SGK2,994.0,679.0,914.0,9.0,216.0,808.0,105.0,780.0,470.0,429.0,602.0
SGK3,1000.0,909.0,924.0,2.0,56.0,654.0,11.0,673.0,414.0,359.0,315.0
SYK,42.0,537.0,686.0,715.0,229.0,763.0,67.0,965.0,543.0,947.0,660.0
Antimetabolite (DNA & RNA),988.0,708.0,904.0,292.0,925.0,371.0,314.0,6.0,180.0,787.0,262.0
SERCA,795.0,972.0,443.0,116.0,75.0,132.0,499.0,698.0,557.0,568.0,574.0
BCL2,143.0,513.0,274.0,946.0,927.0,280.0,921.0,159.0,69.0,117.0,614.0
BCL-XL,176.0,412.0,147.0,996.0,981.0,205.0,902.0,176.0,1.0,92.0,892.0
BCL-W,496.0,416.0,512.0,929.0,990.0,381.0,725.0,61.0,3.0,930.0,667.0
MCL1,930.0,743.0,970.0,9.0,20.0,764.0,175.0,680.0,901.0,479.0,259.0
Retinioic X receptor (RXR) agonist,10.0,308.0,115.0,990.0,4.0,524.0,693.0,1000.0,226.0,202.0,817.0
dsDNA break induction,1000.0,979.0,927.0,1.0,949.0,196.0,113.0,0.0,668.0,818.0,212.0
BTK,0.0,130.0,52.0,993.0,880.0,684.0,974.0,890.0,339.0,97.0,300.0
HSP90,122.0,989.0,970.0,472.0,3.0,645.0,45.0,999.0,145.0,577.0,491.0
Biguanide agent,129.0,200.0,682.0,65.0,6.0,580.0,380.0,998.0,997.0,734.0,137.0
PDGFRB,61.0,184.0,63.0,965.0,939.0,823.0,790.0,617.0,57.0,594.0,742.0
IKK1,2.0,212.0,137.0,596.0,95.0,817.0,788.0,979.0,999.0,443.0,148.0
IKK2,978.0,307.0,452.0,224.0,999.0,510.0,489.0,8.0,22.0,879.0,717.0
Amyloid beta20,891.0,149.0,760.0,1.0,397.0,932.0,169.0,616.0,908.0,950.0,479.0
Amyloid beta40,445.0,155.0,27.0,964.0,696.0,74.0,842.0,800.0,730.0,63.0,291.0
JAK1,0.0,242.0,298.0,1000.0,0.0,188.0,807.0,999.0,794.0,86.0,338.0
JAK2,1000.0,514.0,761.0,2.0,1000.0,664.0,460.0,0.0,16.0,843.0,374.0
JNK1,227.0,658.0,358.0,609.0,289.0,378.0,158.0,973.0,205.0,956.0,696.0
KSP,904.0,623.0,157.0,3.0,674.0,197.0,669.0,109.0,1000.0,547.0,335.0
CDK6,863.0,250.0,414.0,23.0,969.0,800.0,906.0,151.0,115.0,840.0,171.0
p38alpha,39.0,341.0,437.0,397.0,238.0,554.0,550.0,928.0,997.0,633.0,126.0
p38beta,143.0,45.0,246.0,15.0,376.0,771.0,509.0,980.0,1000.0,709.0,111.0
PI3K (class 1),0.0,399.0,130.0,998.0,302.0,864.0,661.0,979.0,312.0,59.0,502.0
PI3Kgamma,2.0,147.0,58.0,832.0,952.0,949.0,960.0,834.0,188.0,235.0,422.0
PKCB,0.0,105.0,11.0,994.0,747.0,893.0,830.0,965.0,525.0,319.0,685.0
RSK,701.0,10.0,145.0,6.0,898.0,969.0,585.0,938.0,973.0,782.0,241.0
PI3Kdelta,5.0,81.0,41.0,1000.0,983.0,373.0,895.0,371.0,152.0,327.0,390.0
G9a and GLP methyltransferases,19.0,147.0,17.0,996.0,420.0,171.0,800.0,994.0,244.0,826.0,592.0
FLT4,21.0,937.0,918.0,220.0,825.0,788.0,128.0,81.0,514.0,609.0,319.0
AXL,5.0,865.0,539.0,808.0,1.0,822.0,113.0,1000.0,792.0,752.0,664.0
NTRK2,923.0,927.0,506.0,74.0,1000.0,451.0,874.0,0.0,22.0,707.0,591.0
IRAK1,6.0,463.0,55.0,990.0,720.0,95.0,947.0,442.0,651.0,659.0,238.0
LTK,576.0,296.0,835.0,0.0,370.0,956.0,494.0,797.0,971.0,521.0,66.0
Autophagy inducer,91.0,47.0,487.0,402.0,425.0,814.0,351.0,547.0,991.0,953.0,630.0
TAK1,973.0,469.0,968.0,0.0,1000.0,869.0,796.0,0.0,97.0,423.0,440.0
MAP4K2,3.0,185.0,193.0,1000.0,274.0,460.0,354.0,955.0,260.0,454.0,794.0
TAK,155.0,114.0,377.0,967.0,776.0,400.0,537.0,730.0,116.0,777.0,619.0
ERK2,2.0,50.0,220.0,546.0,998.0,969.0,974.0,337.0,354.0,798.0,420.0
ERK1,8.0,276.0,69.0,1000.0,136.0,452.0,320.0,934.0,332.0,190.0,743.0
HDAC6,925.0,152.0,572.0,373.0,210.0,628.0,147.0,633.0,766.0,670.0,562.0
HDAC8,947.0,142.0,802.0,94.0,962.0,653.0,121.0,37.0,746.0,966.0,238.0
Endothelin-1 receptor (EDNRA),12.0,23.0,96.0,995.0,745.0,721.0,767.0,970.0,230.0,591.0,363.0
BIRC5,996.0,916.0,855.0,10.0,118.0,747.0,175.0,257.0,553.0,664.0,714.0
MDM4,893.0,165.0,319.0,865.0,984.0,520.0,659.0,5.0,75.0,346.0,866.0
HDAC,437.0,166.0,529.0,893.0,0.0,696.0,351.0,1000.0,879.0,198.0,761.0
RAR,595.0,550.0,545.0,538.0,0.0,408.0,443.0,951.0,932.0,36.0,541.0
HDAC1-10,1000.0,660.0,743.0,15.0,972.0,226.0,655.0,10.0,3.0,745.0,562.0
VEGFR1,344.0,783.0,293.0,998.0,759.0,85.0,602.0,740.0,43.0,567.0,458.0
VEGFR3,463.0,651.0,978.0,111.0,704.0,894.0,412.0,2.0,903.0,554.0,303.0
MEK5,144.0,149.0,286.0,996.0,921.0,389.0,473.0,806.0,3.0,773.0,670.0
MTORC2,0.0,108.0,185.0,998.0,976.0,665.0,964.0,450.0,48.0,219.0,268.0
Angiopoietin-1 receptor,0.0,2.0,199.0,849.0,206.0,972.0,832.0,1000.0,708.0,434.0,518.0
JAK3,19.0,152.0,154.0,431.0,861.0,936.0,449.0,369.0,971.0,847.0,742.0
IKKB,13.0,72.0,363.0,1000.0,288.0,479.0,589.0,891.0,96.0,479.0,768.0
MAP3K8,597.0,605.0,492.0,968.0,207.0,251.0,550.0,440.0,121.0,509.0,468.0
MPS1,880.0,470.0,692.0,670.0,941.0,505.0,579.0,5.0,73.0,700.0,541.0
EPHB4,240.0,157.0,725.0,343.0,999.0,867.0,915.0,21.0,45.0,665.0,575.0
RNA Polymerase 1,997.0,565.0,850.0,15.0,943.0,620.0,299.0,8.0,183.0,829.0,591.0
PI3Kalpha,0.0,392.0,461.0,1000.0,999.0,251.0,672.0,0.0,143.0,316.0,524.0
DAPK3,0.0,189.0,204.0,998.0,989.0,814.0,637.0,15.0,580.0,375.0,690.0
CLK4,0.0,130.0,159.0,1000.0,992.0,758.0,703.0,163.0,320.0,383.0,758.0
PIM3,158.0,166.0,697.0,882.0,1000.0,714.0,787.0,0.0,119.0,583.0,396.0
HIPK2,1.0,231.0,431.0,998.0,988.0,796.0,767.0,16.0,239.0,598.0,787.0
ALK5,6.0,70.0,148.0,1000.0,21.0,213.0,641.0,997.0,112.0,222.0,761.0
TNKS1,999.0,524.0,886.0,16.0,990.0,457.0,68.0,22.0,124.0,973.0,745.0
TNKS2,843.0,484.0,353.0,348.0,948.0,415.0,185.0,246.0,301.0,791.0,969.0
ROCK,954.0,199.0,256.0,287.0,891.0,218.0,353.0,79.0,496.0,869.0,945.0
PYKFYVE,0.0,250.0,67.0,1000.0,13.0,787.0,341.0,1000.0,56.0,195.0,932.0
DDR1,7.0,134.0,298.0,239.0,656.0,730.0,876.0,677.0,999.0,720.0,163.0
RIPK1,708.0,590.0,177.0,207.0,406.0,102.0,259.0,449.0,999.0,914.0,147.0
CAMK2,900.0,92.0,327.0,2.0,330.0,509.0,236.0,917.0,998.0,847.0,339.0
LXR,85.0,566.0,824.0,925.0,7.0,382.0,255.0,986.0,923.0,508.0,105.0
FXR,973.0,595.0,762.0,22.0,395.0,283.0,152.0,182.0,963.0,621.0,82.0
SIRT1,935.0,123.0,521.0,61.0,939.0,731.0,355.0,113.0,834.0,490.0,464.0
AMPK agonist,728.0,35.0,294.0,606.0,981.0,746.0,972.0,71.0,102.0,405.0,228.0
TOP1,1000.0,948.0,987.0,1.0,899.0,176.0,477.0,0.0,536.0,587.0,196.0
Antimetabolite,513.0,438.0,966.0,22.0,126.0,970.0,632.0,335.0,753.0,611.0,606.0
Retinoic acid,1.0,27.0,222.0,989.0,540.0,677.0,905.0,968.0,241.0,126.0,449.0
HDAC inhibitor Class I,317.0,366.0,123.0,641.0,968.0,486.0,919.0,421.0,37.0,761.0,550.0
IIa,8.0,474.0,84.0,997.0,22.0,508.0,505.0,1000.0,89.0,782.0,769.0
IIb,2.0,101.0,9.0,998.0,350.0,503.0,963.0,999.0,4.0,384.0,574.0
IV,569.0,189.0,102.0,265.0,283.0,378.0,845.0,948.0,122.0,680.0,596.0
MEK1,613.0,34.0,254.0,0.0,1000.0,871.0,999.0,0.0,668.0,430.0,377.0
MEK2,294.0,56.0,104.0,115.0,997.0,845.0,994.0,469.0,170.0,215.0,845.0
PARP1,1000.0,619.0,986.0,2.0,491.0,514.0,145.0,47.0,871.0,907.0,139.0
PARP2,977.0,413.0,779.0,52.0,293.0,468.0,491.0,344.0,827.0,677.0,442.0
TEC,943.0,742.0,479.0,0.0,9.0,573.0,269.0,981.0,972.0,485.0,269.0
CRBN,7.0,380.0,7.0,990.0,195.0,627.0,534.0,994.0,315.0,107.0,689.0
CHEK1,1000.0,735.0,820.0,0.0,982.0,420.0,149.0,2.0,662.0,921.0,662.0
CHEK2,978.0,753.0,332.0,43.0,778.0,356.0,203.0,138.0,549.0,915.0,910.0
NTRK1,91.0,704.0,218.0,819.0,0.0,683.0,34.0,1000.0,919.0,288.0,953.0
NTRK3,997.0,890.0,989.0,2.0,459.0,872.0,50.0,149.0,136.0,771.0,751.0
p38,448.0,67.0,469.0,976.0,430.0,370.0,911.0,248.0,296.0,130.0,310.0
TBK1,990.0,264.0,995.0,0.0,802.0,906.0,350.0,23.0,871.0,841.0,538.0
DNAPK,799.0,142.0,669.0,842.0,783.0,316.0,761.0,94.0,385.0,466.0,448.0
PIM1,968.0,176.0,868.0,0.0,19.0,914.0,82.0,920.0,999.0,726.0,456.0
JNK,67.0,32.0,137.0,802.0,20.0,734.0,689.0,994.0,970.0,189.0,431.0
WEE1,949.0,168.0,792.0,3.0,969.0,817.0,754.0,59.0,658.0,352.0,165.0
MDM2,983.0,488.0,824.0,3.0,961.0,399.0,830.0,58.0,454.0,743.0,79.0
FGFR3,629.0,78.0,625.0,555.0,954.0,400.0,522.0,775.0,59.0,862.0,436.0
PI3K (Class 1),888.0,577.0,707.0,141.0,16.0,709.0,234.0,969.0,149.0,473.0,965.0
PPM1D,5.0,281.0,200.0,969.0,1.0,392.0,631.0,999.0,967.0,47.0,353.0
RAC1,168.0,141.0,733.0,978.0,400.0,458.0,364.0,949.0,293.0,344.0,335.0
RAC2,1.0,165.0,367.0,992.0,78.0,755.0,583.0,998.0,651.0,42.0,403.0
RAC3,206.0,457.0,791.0,271.0,538.0,180.0,603.0,142.0,913.0,145.0,57.0
S6K1,14.0,509.0,687.0,708.0,252.0,578.0,496.0,849.0,942.0,68.0,200.0
LOK,1000.0,667.0,998.0,0.0,947.0,603.0,62.0,2.0,872.0,995.0,292.0
TRCB,999.0,863.0,954.0,1.0,890.0,348.0,44.0,33.0,259.0,965.0,583.0
ABL(T315I),1000.0,852.0,981.0,3.0,20.0,728.0,29.0,939.0,764.0,981.0,764.0
ADCK4,690.0,309.0,132.0,962.0,803.0,111.0,531.0,758.0,22.0,881.0,674.0
BRSK2,909.0,820.0,960.0,198.0,912.0,729.0,749.0,7.0,12.0,907.0,427.0
MARK4,946.0,491.0,909.0,291.0,694.0,455.0,354.0,78.0,594.0,958.0,652.0
PRKCD,999.0,294.0,993.0,0.0,1000.0,234.0,303.0,0.0,980.0,995.0,108.0
SPRK1,994.0,479.0,855.0,19.0,973.0,892.0,366.0,65.0,85.0,818.0,561.0
MAPK7,809.0,516.0,971.0,437.0,671.0,600.0,85.0,759.0,14.0,947.0,513.0
ATR,893.0,233.0,645.0,0.0,882.0,760.0,697.0,223.0,900.0,347.0,173.0
ALK4,998.0,596.0,898.0,49.0,998.0,212.0,490.0,3.0,50.0,744.0,122.0
ESR1,832.0,521.0,385.0,509.0,924.0,369.0,690.0,722.0,9.0,281.0,93.0
EGLN1,86.0,719.0,455.0,935.0,209.0,127.0,831.0,722.0,226.0,53.0,544.0
RNA helicase A,1000.0,821.0,855.0,1.0,173.0,204.0,25.0,424.0,674.0,855.0,727.0
Induces reactive oxygen species,999.0,951.0,884.0,0.0,41.0,306.0,499.0,559.0,344.0,74.0,175.0
NAMPT,1000.0,745.0,995.0,0.0,999.0,533.0,634.0,0.0,200.0,991.0,92.0
TRAIL receptor agonist,999.0,888.0,955.0,37.0,451.0,190.0,255.0,1.0,792.0,961.0,603.0
L3MBTL3,72.0,289.0,938.0,228.0,431.0,741.0,531.0,669.0,858.0,927.0,190.0
DOT1L,162.0,336.0,253.0,335.0,125.0,635.0,801.0,875.0,901.0,142.0,698.0
DNA alkylating agent,991.0,107.0,225.0,13.0,1000.0,497.0,869.0,4.0,479.0,581.0,570.0
NAE,1000.0,760.0,888.0,2.0,752.0,253.0,429.0,95.0,469.0,956.0,409.0
